job_family,seniority,contract_type,region_code,remote_flag,min_years_exp,edu_min,responsibilities_count,requirements_count,tools_mentioned,lang_req,tech_skill,data_skill,design_skill,sales_skill,marketing_skill,ops_skill,salary_min,salary_max,salary_per_year_exp,req_to_resp_ratio,skill_density,complexity,jd_text
4,3,0,5,0,9.98,1,11,11,6,2,31.2,35.0,59.7,47.1,72.7,49.4,84557,109427,8832.79,1.0,13.41,0.441,"Senior Marketing role. Focus on SEO, ads, and brand. Requirements: 11 items; Responsibilities: 11 items."
3,1,0,3,0,1.54,1,9,10,7,2,47.1,18.6,47.6,100.0,45.8,54.4,34284,56779,17900.13,1.111,16.496,2.281,"Junior Sales role. Focus on CRM, pipeline, and closing. Requirements: 10 items; Responsibilities: 9 items."
4,1,0,4,1,5.24,3,6,15,6,1,60.8,38.6,32.3,56.0,64.6,39.3,52734,76969,10387.84,2.5,13.884,1.584,"Junior Marketing role. Focus on SEO, analytics, and campaigns. Requirements: 15 items; Responsibilities: 6 items."
5,4,0,5,1,10.88,2,17,14,6,1,55.1,54.0,39.6,44.0,57.6,91.3,100107,149214,10491.63,0.824,11.02,1.745,"Lead Operations role. Focus on coordination, logistics, and reporting. Requirements: 14 items; Responsibilities: 17 items."
0,3,0,3,0,6.82,1,12,18,8,1,56.4,56.5,28.4,23.9,51.6,49.3,38648,127629,10631.81,1.5,8.871,2.113,"Senior Software role. Focus on API, CI/CD, and frontend. Requirements: 18 items; Responsibilities: 12 items."
4,2,0,4,0,3.1,1,11,14,8,0,45.0,35.5,33.9,26.7,70.5,51.8,47098,77061,15141.68,1.273,10.533,0.679,"Mid Marketing role. Focus on SEO, analytics, and brand. Requirements: 14 items; Responsibilities: 11 items."
3,0,2,5,1,0.79,2,2,5,4,1,32.8,24.2,19.9,100.0,23.7,41.3,14741,35559,14068.3,2.5,34.565,0.988,"Intern Sales role. Focus on quota, CRM, and closing. Requirements: 5 items; Responsibilities: 2 items."
2,0,0,1,1,1.11,1,7,4,4,2,28.5,44.0,67.1,27.8,35.5,45.5,25072,30514,13176.7,0.571,22.573,1.43,"Intern Design role. Focus on user research, wireframes, and UX/UI. Requirements: 4 items; Responsibilities: 7 items."
3,0,2,0,0,1.06,2,6,8,10,1,27.7,37.4,39.9,86.7,37.5,61.0,30990,36516,16356.64,1.333,20.725,1.04,"Intern Sales role. Focus on closing, account, and pipeline. Requirements: 8 items; Responsibilities: 6 items."
1,1,0,1,0,2.64,1,3,9,6,1,28.4,50.7,26.7,35.7,33.3,43.2,42686,43686,11851.2,3.0,18.166,1.44,"Junior Data role. Focus on ETL, pipelines, and SQL. Requirements: 9 items; Responsibilities: 3 items."
5,3,0,1,0,7.75,1,13,14,10,1,52.3,54.9,46.5,49.9,37.0,56.3,64395,93870,9047.94,1.077,10.999,1.244,"Senior Operations role. Focus on SOP, logistics, and reporting. Requirements: 14 items; Responsibilities: 13 items."
2,2,0,5,1,7.33,2,11,11,10,1,43.6,39.3,60.6,36.1,48.7,36.9,62017,63017,7505.7,1.0,12.056,1.965,"Mid Design role. Focus on user research, usability, and wireframes. Requirements: 11 items; Responsibilities: 11 items."
0,0,2,5,1,0.05,0,4,12,4,2,62.6,32.9,24.2,41.8,35.2,58.0,29019,30019,28238.91,3.0,15.918,0.197,"Intern Software role. Focus on code review, microservices, and API. Requirements: 12 items; Responsibilities: 4 items."
2,2,0,0,1,5.49,1,8,8,11,1,45.5,41.9,69.8,48.8,58.4,50.6,65648,79154,11163.95,1.0,19.69,0.993,"Mid Design role. Focus on usability, wireframes, and prototypes. Requirements: 8 items; Responsibilities: 8 items."
2,2,1,2,0,6.62,1,7,13,8,2,42.9,28.8,73.5,44.6,41.9,29.9,59166,60166,7825.0,1.857,13.076,2.054,"Mid Design role. Focus on usability, prototypes, and design system. Requirements: 13 items; Responsibilities: 7 items."
2,1,0,4,1,3.5,1,8,15,3,2,42.0,38.5,87.2,36.6,44.3,26.0,49733,67771,13045.56,1.875,11.942,0.687,"Junior Design role. Focus on usability, prototypes, and UX/UI. Requirements: 15 items; Responsibilities: 8 items."
3,1,2,0,0,4.84,1,8,10,5,0,43.4,31.4,40.5,63.4,29.9,38.5,48587,65530,9773.61,1.25,13.725,0.787,"Junior Sales role. Focus on closing, CRM, and account. Requirements: 10 items; Responsibilities: 8 items."
4,1,2,4,1,5.88,2,8,16,5,1,59.7,11.8,38.1,39.0,100.0,41.6,51386,52386,7546.52,2.0,12.09,1.379,"Junior Marketing role. Focus on content, ads, and SEO. Requirements: 16 items; Responsibilities: 8 items."
3,3,0,0,0,7.47,2,18,15,9,1,72.8,36.3,66.0,73.7,48.5,48.5,86791,87791,10304.83,0.833,10.477,1.149,"Senior Sales role. Focus on leads, quota, and closing. Requirements: 15 items; Responsibilities: 18 items."
5,0,2,2,0,1.51,1,6,7,5,0,32.3,17.3,36.3,48.2,32.6,89.2,29852,30852,12081.03,1.167,19.675,-0.378,"Intern Operations role. Focus on quality, logistics, and reporting. Requirements: 7 items; Responsibilities: 6 items."
2,1,0,4,1,0.0,1,9,12,12,1,35.6,59.6,53.1,41.2,40.0,43.5,34404,45560,39982.33,1.333,13.002,0.54,"Junior Design role. Focus on prototypes, design system, and usability. Requirements: 12 items; Responsibilities: 9 items."
4,4,0,1,1,9.72,1,11,15,11,1,54.3,57.4,47.8,43.5,100.0,60.6,74632,75632,7010.34,1.364,13.987,2.053,"Lead Marketing role. Focus on SEO, analytics, and ads. Requirements: 15 items; Responsibilities: 11 items."
2,0,0,2,1,2.1,1,7,7,6,1,45.0,16.2,81.1,39.2,23.9,27.6,21347,22347,7037.42,1.0,16.65,1.012,"Intern Design role. Focus on UX/UI, design system, and usability. Requirements: 7 items; Responsibilities: 7 items."
1,1,0,1,0,1.85,3,11,11,8,2,26.7,66.6,52.7,45.4,28.7,57.2,34622,54202,15591.94,1.0,12.606,0.513,"Junior Data role. Focus on modeling, experiments, and SQL. Requirements: 11 items; Responsibilities: 11 items."
4,2,0,4,0,8.11,1,8,10,12,1,37.5,44.1,28.3,52.7,79.9,12.0,65066,82486,8101.06,1.25,14.139,1.928,"Mid Marketing role. Focus on brand, content, and ads. Requirements: 10 items; Responsibilities: 8 items."
1,3,1,1,0,4.55,1,18,16,11,1,47.3,94.1,41.7,41.2,39.9,27.5,88112,93217,16329.74,0.889,8.58,2.209,"Senior Data role. Focus on ETL, dashboard, and SQL. Requirements: 16 items; Responsibilities: 18 items."
0,4,0,5,0,13.29,1,13,20,13,1,96.7,61.0,48.5,77.0,47.4,34.3,73984,137498,7398.97,1.538,11.056,2.32,"Lead Software role. Focus on CI/CD, code review, and API. Requirements: 20 items; Responsibilities: 13 items."
4,2,0,2,0,4.96,2,11,9,14,1,45.8,40.5,63.2,59.5,74.1,59.1,51597,77753,10858.3,0.818,17.107,1.362,"Mid Marketing role. Focus on ads, campaigns, and SEO. Requirements: 9 items; Responsibilities: 11 items."
1,1,0,2,0,2.0,1,7,9,9,1,22.0,61.8,44.3,31.1,40.5,48.7,39159,61673,16830.41,1.286,15.521,0.655,"Junior Data role. Focus on experiments, modeling, and pipelines. Requirements: 9 items; Responsibilities: 7 items."
4,0,0,3,0,0.59,1,5,8,4,2,39.5,20.6,41.0,42.2,53.6,40.6,31888,32888,20319.0,1.6,18.264,0.725,"Intern Marketing role. Focus on brand, content, and analytics. Requirements: 8 items; Responsibilities: 5 items."
2,3,0,3,1,7.63,2,5,13,13,0,39.0,61.2,63.5,26.4,54.3,59.0,41393,114437,9026.14,2.6,16.854,1.495,"Senior Design role. Focus on UX/UI, user research, and design system. Requirements: 13 items; Responsibilities: 5 items."
4,2,0,3,0,4.1,2,13,15,13,1,44.3,33.0,38.6,35.3,66.2,31.8,64476,65476,12732.03,1.154,8.901,1.948,"Mid Marketing role. Focus on analytics, brand, and SEO. Requirements: 15 items; Responsibilities: 13 items."
2,1,0,3,0,1.45,2,3,13,3,2,49.9,42.8,94.8,37.8,30.4,57.7,34522,35522,14283.59,4.333,19.586,1.196,"Junior Design role. Focus on user research, usability, and wireframes. Requirements: 13 items; Responsibilities: 3 items."
5,3,0,5,1,7.14,1,16,13,8,2,46.9,32.0,34.0,54.4,8.3,87.3,63214,98292,9920.53,0.812,9.062,1.9,"Senior Operations role. Focus on process, reporting, and logistics. Requirements: 13 items; Responsibilities: 16 items."
